id,fid,queimada,latitude,longitude,epsg,swir22_last,nir08_last,ndvi_last
606319,606319,1,-15.75935625285332,-47.69186679343121,4326,2092,2150,2967
606929,606929,1,-15.975887423425934,-47.69376960779721,4326,1172,1011,2661
607927,607927,1,-15.975899628433517,-47.692795152181205,4326,1069,621,1930
608926,608926,1,-15.975353795473149,-47.69181323105389,4326,1116,774,2131
609923,609923,1,-15.975924025237756,-47.69084623842043,4326,1342,1114,2775
610918,610918,1,-15.977610320233223,-47.68989415895236,4326,1138,983,2700
611916,611916,1,-15.977622508969429,-47.68891969188247,4326,1333,1072,2167
612916,612916,1,-15.976518622751582,-47.68793031471428,4326,1593,1287,2440
613915,613915,1,-15.975972766013737,-47.68694839985883,4326,975,662,1737
614913,614913,1,-15.975984940195506,-47.685973938348056,4326,888,643,1819
615872,615872,1,-15.997760525017188,-47.68529009243218,4326,1997,1930,2777
616868,616868,1,-15.998888779496864,-47.684330434161,4326,1759,1116,1376
617867,617867,1,-15.998342922520305,-47.683348407075314,4326,2244,1540,1724
618866,618866,1,-15.997797060207564,-47.68236638484115,4326,1549,1269,2447
619863,619863,1,-15.998367266976809,-47.68139926076282,4326,2077,1367,1530
620860,620860,1,-15.998937470196378,-47.68043213074149,4326,2180,1463,1456
621858,621858,1,-15.998949631845075,-47.679457552787056,4326,2381,1811,1425
622857,622857,1,-15.998403750584195,-47.678475534996245,4326,1727,1103,1696
623899,623899,1,-15.973862148393073,-47.67717405169961,4326,1146,915,2525
624897,624897,1,-15.97387427676557,-47.676199591637314,4326,1459,1448,2718
625895,625895,1,-15.973886400723169,-47.67522513167072,4326,1244,1030,1990
627420,627420,1,-15.67980601917056,-47.67038353890237,4326,1707,1127,1660
628419,628419,1,-15.67925984102445,-47.66940322404064,4326,2013,1421,1797
629427,629427,1,-15.673691120691354,-47.668357628969325,4326,1289,1126,3278
630403,630403,1,-15.685980314858002,-47.66754416886727,4326,1473,1103,1879
631401,631401,1,-15.68599218766233,-47.66657108075406,4326,1172,1385,4046
632477,632477,1,-15.642475236706224,-47.66503329362302,4326,1673,1504,2937
633537,633537,1,-15.607887068928186,-47.66361297103647,4326,1376,2401,5341
635192,635192,1,-15.798209427075912,-47.664140467102015,4326,2220,1715,1576
636190,636190,1,-15.798221367300243,-47.663166842174725,4326,1566,1472,2646
639399,639399,1,-15.67827411295549,-47.65868511717807,4326,1937,2148,3304
640398,640398,1,-15.67772787625442,-47.657704832804384,4326,1621,983,2105
642876,642876,1,-15.96572109835972,-47.658548635705685,4326,1243,1694,4404
643873,643873,1,-15.966291186147508,-47.657581566226064,4326,1477,1120,1985
645436,645436,1,-15.650999711837668,-47.65249367838838,4326,1827,1724,1512
646434,646434,1,-15.651011492058768,-47.651520743931016,4326,1679,1413,1245
652100,652100,1,-15.830779421734816,-47.64801008767426,4326,2065,1609,1346
653098,653098,1,-15.830791313520525,-47.64703629321577,4326,2260,2059,1344
654093,654093,1,-15.832477386540443,-47.64608430374474,4326,1852,2104,1890
655095,655095,1,-15.830257021609222,-47.64508143863763,4326,2194,1669,1443
657408,657408,1,-15.653373083610152,-47.64084707954869,4326,1825,1562,1973
658403,658403,1,-15.655059035034649,-47.63989562228468,4326,1749,1513,2478
659400,659400,1,-15.65562883639356,-47.63892982250088,4326,1600,1507,2271
660397,660397,1,-15.656198634286753,-47.63796401691581,4326,1670,1433,2113
661392,661392,1,-15.657884578445024,-47.63701252463138,4326,1371,1307,2851
662391,662391,1,-15.657338219673957,-47.6360323883417,4326,1284,1006,1884
663389,663389,1,-15.65734993144061,-47.63505941092628,4326,1255,1061,2223
664388,664388,1,-15.656803562699109,-47.63407928118596,4326,1395,1359,2188
665387,665387,1,-15.656257188738136,-47.633099156181295,4326,1141,909,2047
666386,666386,1,-15.65571080955817,-47.632119035912304,4326,1138,1081,2892
667385,667385,1,-15.655164425170891,-47.6311389194469,4326,1311,1080,2258
668383,668383,1,-15.655176113627029,-47.630165948469575,4326,1204,1168,2445
669413,669413,1,-15.637329260779854,-47.62896472881971,4326,1443,1192,2468
670480,670480,1,-15.598833335780729,-47.62750086126249,4326,1794,2421,3030
671409,671409,1,-15.637352588170875,-47.627018951232095,4326,1686,1652,2124
672408,672408,1,-15.636806164577193,-47.62603894109223,4326,1426,1125,2619
675374,675374,1,-15.652467406130214,-47.62331952466623,4326,1204,2264,4875
676856,676856,1,-15.939340792723993,-47.62506847153831,4326,1734,1577,2461
677852,677852,1,-15.940468792566053,-47.624108657740656,4326,2168,2394,1643
678850,678850,1,-15.940480656478805,-47.62313431798261,4326,2014,1591,1711
680401,680401,1,-15.63187650367182,-47.61819193374867,4326,2140,1078,2180
681401,681401,1,-15.630771947642456,-47.61720487485635,4326,2224,1289,2293
682026,682026,1,-15.83894731278717,-47.61889665335471,4326,2233,2098,2954
683295,683295,1,-15.687719785738702,-47.615983591314446,4326,1179,936,2795
684293,684293,1,-15.687731430428354,-47.61501045432404,4326,1121,843,2753
685291,685291,1,-15.687743070796769,-47.61403731651918,4326,1148,880,2800
686290,686290,1,-15.687196622755934,-47.61305706895419,4326,1165,1552,4837
691892,691892,1,-15.90268548991268,-47.60997735478877,4326,1761,1548,2478
694869,694869,1,-15.912208087497694,-47.607177202420296,4326,1919,1927,2188
705823,705823,1,-15.925731194180903,-47.59663294498564,4326,1734,1249,1760
718225,718225,1,-15.688124778661628,-47.58192331216348,4326,2030,2148,1959
720778,720778,1,-15.934277952584964,-47.58212559353665,4326,1933,1866,1493
721929,721929,1,-15.848902131027389,-47.580062373057785,4326,2547,2664,2613
722880,722880,1,-15.875143978151598,-47.57942210086805,4326,1601,989,1879
723785,723785,1,-15.927057821837238,-47.57910985610996,4326,2450,1362,2259
724784,724784,1,-15.926511385521753,-47.57812841949083,4326,2367,1348,2260
725783,725783,1,-15.9259649439251,-47.57714698771965,4326,2208,1169,2208
726782,726782,1,-15.925418497047746,-47.576165560796426,4326,2303,1372,2120
727755,727755,1,-15.939382341300218,-47.57536929068135,4326,1464,1518,2957
728753,728753,1,-15.939393984190668,-47.5743949183241,4326,1367,847,1666
729860,729860,1,-15.878573748693675,-47.57264619252051,4326,3706,2094,2006
731937,731937,1,-15.83339126496899,-47.5701251937072,4326,2646,1730,2753
734704,734704,1,-15.9601130999174,-47.5688117852036,4326,1538,1702,3209
735701,735701,1,-15.960682818000436,-47.56784442162073,4326,2448,3446,3833
747221,747221,1,-15.658318323838456,-47.553326404033626,4326,1526,1413,3580
751406,751406,1,-15.550647139161434,-47.54810336043725,4326,1659,1005,2159
752406,752406,1,-15.549542135971418,-47.54711708585125,4326,1366,672,1768
753406,753406,1,-15.548437135713115,-47.54613082215245,4326,1889,1237,2326
754406,754406,1,-15.547332129355713,-47.54514456922876,4326,1960,1127,1989
758213,758213,1,-15.6506292475717,-47.5425262242091,4326,2723,2146,1669
759211,759211,1,-15.650640539378314,-47.54155320631062,4326,2497,1750,1460
760209,760209,1,-15.650651826873467,-47.54058018762103,4326,2495,1663,1496
761207,761207,1,-15.650663110057138,-47.53960716814064,4326,2520,1862,1525
762394,762394,1,-15.545189357281169,-47.53733696125454,4326,2450,1578,1820
763395,763395,1,-15.543526176716922,-47.53634393329156,4326,2428,1627,1785
764391,764391,1,-15.54465361715299,-47.535385078201664,4326,2357,1576,1769
765326,765326,1,-15.579826685800477,-47.53484333903244,4326,1672,1013,1710
766323,766323,1,-15.580396018313388,-47.533877493324695,4326,1707,927,1682
767389,767389,1,-15.54245465442384,-47.53244020892959,4326,2290,1491,1767
768316,768316,1,-15.582092798050676,-47.5319526243217,4326,2183,2059,2040
774963,774963,1,-15.77137474289094,-47.52747199637048,4326,1896,1610,1528
776315,776315,1,-15.573810322248985,-47.52406872953058,4326,2091,2289,2957
777161,777161,1,-15.658656802622534,-47.52413467604034,4326,2790,2690,2188
778157,778157,1,-15.659784268434306,-47.52317530938668,4326,2242,2037,1805
779156,779156,1,-15.659237355301352,-47.52219538357829,4326,1791,905,1892
780155,780155,1,-15.658690436973364,-47.521215463463065,4326,1699,1011,2093
781154,781154,1,-15.658143513461576,-47.52023554810883,4326,1559,1013,2182
782152,782152,1,-15.65815471154715,-47.51926247784103,4326,1837,1331,2450
783150,783150,1,-15.658165905318798,-47.51828940678893,4326,1806,1367,2444
784148,784148,1,-15.658177094776514,-47.51731633495284,4326,1791,1413,2254
785147,785147,1,-15.657630151883618,-47.51633642991351,4326,1688,999,1780
786146,786146,1,-15.657083203808794,-47.51535652963583,4326,1938,1351,1666
787145,787145,1,-15.656536250552518,-47.51437663411982,4326,1952,1103,1898
788145,788145,1,-15.655431162698946,-47.51338991994872,4326,2468,1391,2064
789143,789143,1,-15.655442328497523,-47.51241685737287,4326,2224,1477,2661
790141,790141,1,-15.655453489982875,-47.51144379401489,4326,2127,1594,2457
791139,791139,1,-15.655464647154991,-47.51047072987508,4326,2068,2669,2509
792138,792138,1,-15.654917668895855,-47.50949085235048,4326,1458,1297,2944
793140,793140,1,-15.65269629058144,-47.50849055121352,4326,2287,1015,2192
794153,794153,1,-15.64433544781752,-47.50741543713613,4326,1755,1358,1772
795302,795302,1,-15.560068125881378,-47.50541883262628,4326,2535,1468,2022
797297,797297,1,-15.560648388858464,-47.50348034684319,4326,2266,1415,2109
798295,798295,1,-15.56065944508306,-47.50250772365339,4326,2198,1212,2180
